Results,Year,Age,Previous marathons,GDP,Weight,Height,Last Time
7642.0,2013,35,7,55097343447.5616,,,7554.0
7663.0,2015,35,7,63767539356.6051,,,7468.0
7472.0,2014,26,4,55612228233.5179,,,
7486.0,2016,26,4,72374224249.3997,,,7686.0
7646.0,2017,26,4,,,,7486.0
7686.0,2014,26,4,55612228233.5179,,,7472.0
7472.0,2014,35,8,61445345999.0765,,,7542.0
7542.0,2014,35,8,61445345999.0765,,,7546.0
7546.0,2012,35,8,50412754821.9795,,,7701.0
7585.0,2017,35,8,,,,7654.0
7594.0,2015,35,8,63767539356.6051,,,7472.0
7643.0,2011,35,8,41953433591.4101,,,
7654.0,2016,35,8,70529014778.3251,,,7594.0
7701.0,2012,35,8,50412754821.9795,,,7643.0
7473.0,2016,27,3,72374224249.3997,,,7677.0
7528.0,2015,27,3,64464547915.2698,,,
7677.0,2015,27,3,64464547915.2698,,,7528.0
7478.0,2012,34,14,43310721414.0829,,,7612.0
7518.0,2009,34,14,32437389116.038,,,7520.0
7519.0,2010,34,14,29933790334.3418,,,7518.0
7520.0,2009,34,14,32437389116.038,,,7570.0
7564.0,2013,34,14,47648211133.2183,,,7478.0
7570.0,2008,34,14,27066912635.2228,,,7600.0
7590.0,2014,34,14,55612228233.5179,,,7564.0
7600.0,2008,34,14,27066912635.2228,,,7696.0
7603.0,2010,34,14,29933790334.3418,,,7519.0
7612.0,2012,34,14,43310721414.0829,,,7634.0
7634.0,2011,34,14,31952763089.33,,,7668.0
7668.0,2011,34,14,31952763089.33,,,7603.0
7678.0,2015,34,14,64464547915.2698,,,7590.0
7696.0,2007,34,14,19707616772.7996,,,
7485.0,2013,31,2,47648211133.2183,,,
7552.0,2015,31,2,64464547915.2698,,,7485.0
7488.0,2012,36,7,43310721414.0829,,,7589.0
7589.0,2012,36,7,43310721414.0829,,,7672.0
7590.0,2009,36,7,32437389116.038,,,
7611.0,2014,36,7,55612228233.5179,,,7488.0
7614.0,2014,36,7,55612228233.5179,,,7611.0
7631.0,2010,36,7,29933790334.3418,,,7590.0
7672.0,2010,36,7,29933790334.3418,,,7631.0
7488.0,2013,28,1,47648211133.2183,,,
7489.0,2013,34,9,47648211133.2183,,,7681.0
7510.0,2012,34,9,43310721414.0829,,,7633.0
7557.0,2014,34,9,55612228233.5179,,,7636.0
7591.0,2010,34,9,29933790334.3418,,,7601.0
7601.0,2010,34,9,29933790334.3418,,,
7615.0,2014,34,9,55612228233.5179,,,7557.0
7633.0,2011,34,9,31952763089.33,,,7591.0
7636.0,2013,34,9,47648211133.2183,,,7489.0
7681.0,2012,34,9,43310721414.0829,,,7510.0
7490.0,2012,33,2,43310721414.0829,,,
7694.0,2016,33,2,72374224249.3997,,,7490.0
7490.0,2012,35,5,43310721414.0829,,,7544.0
7541.0,2014,35,5,55612228233.5179,,,7605.0
7544.0,2010,35,5,29933790334.3418,,,7684.0
7605.0,2013,35,5,47648211133.2183,,,7490.0
7684.0,2010,35,5,29933790334.3418,,,
7492.0,2012,31,4,43310721414.0829,,,7523.0
7523.0,2010,31,4,29933790334.3418,,,
7616.0,2016,31,4,72374224249.3997,,,7617.0
7617.0,2015,31,4,64464547915.2698,,,7492.0
7492.0,2013,33,2,47648211133.2183,,,
7560.0,2015,33,2,64464547915.2698,,,7492.0
7493.0,2011,37,3,31952763089.33,,,7694.0
7680.0,2011,37,3,31952763089.33,,,7493.0
7694.0,2010,37,3,29933790334.3418,,,
7493.0,2013,33,4,55097343447.5616,,,
7568.0,2014,33,4,61445345999.0765,,,7589.0
7589.0,2013,33,4,55097343447.5616,,,7493.0
7682.0,2015,33,4,63767539356.6051,,,7568.0
7494.0,2012,37,6,43310721414.0829,,,7595.0
7513.0,2014,37,6,55612228233.5179,,,7494.0
7595.0,2011,37,6,31952763089.33,,,
7645.0,2015,37,6,64464547915.2698,,,7658.0
7658.0,2014,37,6,55612228233.5179,,,7513.0
7691.0,2015,37,6,64464547915.2698,,,7645.0
7495.0,2003,52,6,14904517649.8476,,,7679.0
7548.0,2002,52,6,13147743910.7241,,,7695.0
7578.0,2002,52,6,13147743910.7241,,,7548.0
7679.0,2003,52,6,14904517649.8476,,,7578.0
7686.0,2007,52,6,31958195182.2406,,,7495.0
7695.0,2001,52,6,12986007425.8781,,,
7496.0,2003,49,10,14904517649.8476,,,7690.0
7598.0,2006,49,10,25825524820.8064,,,7608.0
7608.0,2004,49,10,16095337093.8366,,,7496.0
7652.0,2008,49,10,35895153327.8497,,,7681.0
7681.0,2008,49,10,35895153327.8497,,,7598.0
